problem_number,FLINT,FORM,Mathematica,reFORM,Rings,Singular
45,0.000205917,0.007,0.017532,0.01842,0.002301666,0.146
46,0.000213166,0.005,0.017501,0.017695,0.002576784,0.159
47,0.000224148,0.005,0.019295,0.01525,0.00243376,0.157
48,0.000218126,0.007,0.018167,0.016262,0.002723778,0.162
49,0.00018311,0.005,0.014121,0.015535,0.001918933,0.127
50,0.000208942,0.006,0.018354,0.017443,0.002560147,0.16
51,0.000217619,0.005,0.017714,0.018125,0.002575631,0.137
52,0.000186696,0.006,0.014924,0.015214,0.002118323,0.132
53,0.00020008,0.006,0.016115,0.015336,0.002583193,0.15
54,0.000183532,0.004,0.013417,0.01328,0.002104693,0.128
55,0.000203052,0.007,0.017913,0.016387,0.002616593,0.139
56,0.000205401,0.005,0.017389,0.012792,0.002252245,0.132
57,0.000196698,0.005,0.015577,0.016989,0.00224061,0.132
58,0.000218463,0.006,0.018092,0.018805,0.002647559,0.017
59,0.000179214,0.004,0.014283,0.016635,0.00217396,0.11
60,0.000190266,0.005,0.016225,0.015545,0.002227913,0.127
61,0.000199707,0.004,0.016581,0.0156,0.002366992,0.125
62,0.000197063,0.006,0.016312,0.019038,0.002159185,0.131
63,0.000202906,0.005,0.01626,0.018035,0.00233507,0.134
64,0.000218564,0.005,0.016716,0.017203,0.002810196,0.131
65,0.000182571,0.005,0.014874,0.015086,0.002207041,0.122
66,0.000195631,0.005,0.016595,0.017521,0.002104423,0.123
67,0.000246915,0.006,0.021326,0.018126,0.002874946,0.169
68,0.000207346,0.005,0.017698,0.014438,0.002486832,0.137
69,0.000191896,0.005,0.016399,0.015277,0.002162181,0.122
70,0.000223385,0.006,0.01808,0.016606,0.00268648,0.021
71,0.000215336,0.005,0.018552,0.018064,0.002541091,0.148
72,0.000208037,0.006,0.016513,0.015952,0.002440841,0.014
73,0.000215997,0.008,0.018357,0.016723,0.002617271,0.138
74,0.00021345,0.007,0.018078,0.019042,0.002480842,0.156
75,0.000169264,0.005,0.012679,0.014704,0.001854517,0.17200000000000001
76,0.000185196,0.006,0.015099,0.015544,0.001913014,0.126
77,0.00018437,0.005,0.014409,0.015876,0.002172721,0.117
78,0.000191709,0.004,0.0139,0.013582,0.002289487,0.108
79,0.000174127,0.003,0.013461,0.015035,0.002055585,0.125
80,0.000195623,0.005,0.016409,0.018248,0.00235945,0.148
81,0.000215493,0.005,0.018076,0.018041,0.002541152,0.149
82,0.000203867,0.006,0.015999,0.016553,0.002379768,0.152
83,0.000218252,0.007,0.017365,0.017212,0.002480883,0.151
84,0.000183837,0.005,0.013401,0.015666,0.002147549,0.125
85,0.000187803,0.004,0.016077,0.016305,0.002117149,0.131
86,0.000209239,0.004,0.016805,0.019184,0.002331648,0.137
87,0.000189023,0.005,0.015375,0.014942,0.002236477,0.14400000000000002
88,0.000206366,0.006,0.015794,0.016268,0.002218931,0.016
89,0.000187914,0.004,0.014852,0.018428,0.002297239,0.124
90,0.000195264,0.005,0.016797,0.017374,0.002309228,0.126
91,0.000191467,0.004,0.016277,0.016486,0.002116862,0.138
92,0.000202157,0.003,0.016576,0.015319,0.002362954,0.136
93,0.000203165,0.006,0.016759,0.01547,0.002371335,0.154
94,0.000222317,0.005,0.018117,0.017775,0.002681823,0.015
95,0.000194489,0.004,0.0162,0.016901,0.002431252,0.13
96,0.000207456,0.005,0.016429,0.018485,0.002287564,0.211
97,0.000202027,0.005,0.016687,0.015825,0.002397078,0.132
98,0.000196277,0.005,0.016329,0.017414,0.002310768,0.14100000000000001
99,0.000184501,0.005,0.015963,0.017094,0.002101199,0.132
100,0.000210056,0.006,0.017486,0.017407,0.002449233,0.137
101,0.000196905,0.004,0.016897,0.015745,0.002316247,0.129
102,0.000219149,0.005,0.019108,0.017151,0.002639507,0.183
103,0.000176402,0.004,0.014432,0.011801,0.002079858,0.116
104,0.00021239,0.005,0.018683,0.017399,0.002543446,0.017
105,0.000188678,0.005,0.01732,0.014518,0.001989172,0.131
106,0.000181955,0.004,0.014666,0.015172,0.002059464,0.139
107,0.000173056,0.005,0.014326,0.013682,0.001754612,0.114
108,0.000210115,0.005,0.022134,0.015367,0.0022052,0.11900000000000001
109,0.000196498,0.004,0.016751,0.016263,0.002311453,0.014
110,0.0001824,0.005,0.015301,0.013164,0.001849899,0.121
111,0.000232928,0.008,0.020306,0.018794,0.002584097,0.155
112,0.000208341,0.005,0.017975,0.016697,0.002519869,0.153
113,0.000189386,0.005,0.014901,0.016001,0.002138077,0.11900000000000001
114,0.000179951,0.005,0.01413,0.016367,0.002138619,0.11800000000000001
115,0.000220596,0.006,0.018485,0.016694,0.00264593,0.14100000000000001
116,0.000203892,0.005,0.017146,0.01361,0.002372453,0.127
117,0.000191078,0.007,0.01441,0.017045,0.002197719,0.137
118,0.000188182,0.004,0.015718,0.015043,0.002234853,0.133
119,0.000201319,0.007,0.016736,0.015856,0.002349185,0.157
120,0.000167948,0.004,0.012896,0.01276,0.00193907,0.095
121,0.000202877,0.005,0.016115,0.016532,0.002316443,0.11800000000000001
122,0.000209154,0.006,0.017768,0.017181,0.002263779,0.145
123,0.000176281,0.005,0.013906,0.015696,0.002061225,0.134
124,0.000208453,0.006,0.017708,0.017059,0.002376767,0.14100000000000001
125,0.000187535,0.006,0.016426,0.016658,0.002186448,0.132
126,0.000196938,0.005,0.017406,0.015432,0.0023652,0.132
127,0.000181191,0.005,0.015,0.015215,0.001951372,0.13
128,0.000208088,0.005,0.017222,0.016968,0.002698085,0.139
129,0.0002052,0.006,0.017566,0.015886,0.002547694,0.129
130,0.000215691,0.005,0.019628,0.017801,0.002337786,0.151
131,0.000185675,0.005,0.014842,0.015524,0.002146286,0.062
132,0.000222293,0.004,0.017403,0.017188,0.002418351,0.145
133,0.000225907,0.005,0.018249,0.01839,0.002423105,0.135
134,0.000229376,0.004,0.018889,0.018493,0.002706474,0.164
135,0.00022593,0.005,0.017805,0.016308,0.002563652,0.14300000000000002
136,0.000211562,0.005,0.017274,0.016624,0.002121148,0.127
137,0.000204065,0.004,0.016813,0.014515,0.002247132,0.139
138,0.000180587,0.004,0.013053,0.015055,0.001972041,0.10400000000000001
139,0.000225547,0.005,0.018068,0.018664,0.002581783,0.149
140,0.000219662,0.005,0.01709,0.015439,0.002096632,0.116
141,0.000198247,0.005,0.015953,0.015355,0.002032548,0.145
142,0.000205053,0.005,0.015545,0.014847,0.00225773,0.127
143,0.000199081,0.005,0.015756,0.015736,0.00226074,0.125
144,0.000193484,0.004,0.014565,0.01505,0.002289737,0.014
145,0.000212072,0.006,0.017984,0.018922,0.00250248,0.146
146,0.000212201,0.004,0.017341,0.016776,0.002205028,0.147
147,0.000198017,0.004,0.016852,0.015791,0.002199462,0.13
148,0.000201291,0.006,0.016784,0.01547,0.002182467,0.157
149,0.000203017,0.003,0.016538,0.016063,0.002096938,0.219
150,0.000188199,0.005,0.015331,0.017669,0.002223745,0.131
151,0.000184423,0.004,0.014993,0.015522,0.002062681,0.128
152,0.000198541,0.005,0.01638,0.016977,0.002361817,0.127
153,0.000183944,0.005,0.014173,0.014312,0.00207317,0.114
154,0.000197341,0.007,0.016796,0.017328,0.002344836,0.132
155,0.000212819,0.006,0.018534,0.016604,0.002541784,0.153
156,0.00021271,0.004,0.017344,0.014505,0.002276603,0.136
157,0.000197852,0.007,0.017152,0.015825,0.002288512,0.14400000000000002
158,0.000191288,0.005,0.015976,0.016952,0.002174889,0.14300000000000002
159,0.000173216,0.004,0.013676,0.015746,0.001968255,0.115
160,0.000191098,0.004,0.015394,0.014942,0.002098965,0.131
161,0.00020107,0.006,0.016152,0.019595,0.00247194,0.115
162,0.000178165,0.004,0.014692,0.016318,0.001944412,0.14400000000000002
163,0.000240359,0.006,0.019626,0.018602,0.002956313,0.156
164,0.000184621,0.005,0.014765,0.015693,0.001810323,0.129
165,0.000211751,0.004,0.018067,0.014814,0.0024951,0.153
166,0.000191033,0.004,0.015259,0.015769,0.002208946,0.123
167,0.000198627,0.005,0.016467,0.017989,0.002268664,0.158
168,0.000184304,0.004,0.013504,0.013511,0.0021285,0.012
169,0.000196258,0.006,0.016213,0.017652,0.002192642,0.139
170,0.000192937,0.005,0.016044,0.014232,0.002095176,0.13
171,0.000199315,0.005,0.016821,0.015416,0.002130487,0.129
172,0.000205423,0.005,0.016689,0.015907,0.002092489,0.123
173,0.00019432,0.005,0.016973,0.018664,0.0020069,0.127
174,0.000186922,0.006,0.015394,0.014764,0.002113797,0.131
175,0.000216581,0.005,0.018416,0.017521,0.002565993,0.158
176,0.000220895,0.007,0.018811,0.018251,0.002551405,0.203
177,0.000186795,0.003,0.015463,0.014245,0.002076683,0.156
178,0.000197614,0.007,0.017061,0.017362,0.002306824,0.137
179,0.000217712,0.005,0.018448,0.019423,0.002554187,0.162
180,0.000211051,0.005,0.017783,0.016744,0.002518415,0.167
181,0.000209472,0.006,0.017863,0.017213,0.002403567,0.136
182,0.000193251,0.005,0.016928,0.015712,0.002196447,0.167
183,0.000212995,0.005,0.017768,0.017702,0.002515658,0.135
184,0.000215886,0.004,0.018189,0.017259,0.002461708,0.158
185,0.000239731,0.006,0.021826,0.018015,0.002909765,0.17300000000000001
186,0.000193527,0.004,0.016561,0.013186,0.002145484,0.139
187,0.000196675,0.005,0.016759,0.017612,0.002188433,0.017
188,0.000180973,0.006,0.013964,0.013577,0.002043906,0.115
189,0.000185598,0.005,0.013846,0.016081,0.002060469,0.108
190,0.000187381,0.004,0.015646,0.017172,0.00192395,0.161
191,0.000193081,0.005,0.015897,0.017198,0.002298111,0.126
192,0.00020104,0.006,0.017305,0.019376,0.002420395,0.015
193,0.000194232,0.005,0.015624,0.01702,0.00236793,0.133
194,0.000212922,0.005,0.017013,0.01827,0.00255724,0.136
195,0.000212794,0.005,0.018605,0.016747,0.002207858,0.11900000000000001
196,0.000203256,0.005,0.017258,0.016529,0.002124488,0.184
197,0.000211812,0.006,0.017183,0.014722,0.002669064,0.139
198,0.000180488,0.004,0.014388,0.015083,0.002052033,0.123
199,0.000205191,0.007,0.017418,0.016352,0.00219396,0.134
200,0.000201371,0.004,0.017001,0.015928,0.002225511,0.136
201,0.000194839,0.004,0.016478,0.017441,0.002000849,0.126
202,0.000191967,0.004,0.014623,0.017062,0.002225146,0.133
203,0.000190408,0.004,0.016347,0.015544,0.002118855,0.128
204,0.000193159,0.005,0.016079,0.015441,0.002232875,0.12
205,0.00021645,0.004,0.017954,0.019789,0.002695221,0.015
206,0.000185761,0.005,0.016389,0.014777,0.002030319,0.121
207,0.000217652,0.006,0.018045,0.018458,0.002593564,0.132
208,0.000211843,0.005,0.017792,0.015984,0.002481963,0.14200000000000002
209,0.000207936,0.006,0.01796,0.017727,0.002255496,0.153
210,0.000172032,0.002,0.013945,0.014251,0.001709793,0.125
