problem_number,FLINT,Mathematica,Rings,Singular
74,0.0209879,0.029786,0.126945133,0.241
75,0.0123451,0.023927,0.135688186,0.41500000000000004
76,0.0493998,0.063437,0.132919654,0.23900000000000002
77,0.0127779,0.023306,0.118249949,0.221
78,0.0876462,0.102804,0.153261173,0.223
79,0.161478,0.195885,0.115991146,0.226
80,0.0703179,0.086279,0.139517801,0.23500000000000001
81,0.0585461,0.073942,0.139805779,0.254
82,0.0171668,0.025881,0.141494919,0.228
83,0.0177664,0.02959,0.137204122,0.255
84,0.0161934,0.025957,0.112634113,0.217
85,0.0744326,0.092961,0.112764969,0.23600000000000002
86,0.0216676,0.030104,0.126391921,0.225
87,0.0157019,0.024328,0.132331729,0.212
88,0.064861,0.080704,0.138661485,0.221
89,0.055216,0.072757,0.154590201,0.274
90,0.229308,0.27876,0.126456412,0.241
91,0.0192895,0.031648,0.169307574,0.281
92,0.0467106,0.0612,0.105960951,0.211
93,0.894346,1.06886,0.123530103,0.249
94,0.0175879,0.031022,0.189240659,0.28300000000000003
95,0.142446,0.177647,0.14718307,0.28600000000000003
96,0.0511726,0.066586,0.238562439,0.225
97,0.0145755,0.025404,0.132103918,0.23800000000000002
98,0.0468254,0.060734,0.11248682,0.198
99,0.532522,0.644922,0.165785235,0.317
100,0.0357084,0.04701,0.293352999,0.20400000000000001
101,0.057587,0.072055,0.137947386,0.264
102,0.0166821,0.029973,0.147266614,0.27
103,0.0139309,0.024176,0.132851113,0.233
104,0.014312,0.022795,0.127646007,0.226
105,0.021677,0.031526,0.153877748,0.278
106,0.0747393,0.089827,0.124511668,0.224
107,0.0175911,0.028993,0.148208447,0.28
108,0.0135926,0.022145,0.108435207,0.181
109,0.0156144,0.025133,0.149167036,0.216
110,0.0188912,0.029543,0.209895537,0.293
111,0.0168306,0.027935,0.111229309,0.22
112,0.112857,0.141181,0.215601033,0.263
113,0.018032,0.026875,0.129215173,0.227
114,0.968071,1.15938,0.153212541,0.253
115,0.0447317,0.058045,0.122183275,0.26
116,0.0622473,0.081602,0.145763878,0.296
117,0.0130107,0.022638,0.111206189,0.213
118,0.0181473,0.027759,0.137264921,0.215
119,0.0131968,0.022772,0.123350081,0.201
120,0.01526,0.024815,0.14233159,0.23500000000000001
121,0.059792,0.075375,0.119479383,0.23
122,0.0760815,0.094548,0.135798898,0.23800000000000002
123,0.0188167,0.028954,0.136424923,0.231
124,0.0170753,0.026503,0.128543236,0.248
125,0.0189038,0.030381,0.129870868,0.247
126,0.115398,0.142684,0.14320571,0.248
127,0.014762,0.023932,0.113316297,0.254
128,0.0157925,0.030565,0.215391009,0.28700000000000003
129,0.0871254,0.108803,0.11940951,0.229
130,0.0135097,0.021598,0.098626949,0.197
131,0.0476604,0.061617,0.10708403,0.22
132,0.0168172,0.026467,0.138379587,0.253
133,0.0157395,0.027232,0.175250461,0.28800000000000003
134,0.0203902,0.032737,0.166678296,0.289
135,0.0474473,0.064234,0.139384376,0.24
136,0.0519267,0.069653,0.139114642,0.244
137,0.0524575,0.067783,0.122492286,0.221
138,0.0516342,0.067419,0.118203639,0.234
139,0.0229031,0.034714,0.15161231,0.28200000000000003
140,0.0508066,0.067681,0.114184828,0.23
141,0.0898934,0.11504,0.149881194,0.28500000000000003
142,0.0569122,0.071727,0.153786522,0.232
143,0.0756251,0.095914,0.132774734,0.257
144,0.697506,0.853151,0.158962954,0.259
145,0.0689642,0.084816,0.144372376,0.247
146,0.0777959,0.100658,0.14186297,0.26
147,0.0160383,0.028979,0.145661623,0.299
148,0.0168246,0.026645,0.116427455,0.23800000000000002
149,0.0129392,0.02255,0.102682148,0.233
150,0.0147191,0.02335,0.110567744,0.19
151,0.0372811,0.050712,0.107376309,0.215
152,0.845183,1.04276,0.123639632,0.228
153,0.0123012,0.019491,0.111344772,0.202
154,0.537304,0.651201,0.147909389,0.231
155,0.0166082,0.025466,0.120815616,0.214
156,0.0433317,0.056414,0.120802937,0.23900000000000002
157,0.0144593,0.024443,0.125920857,0.23
158,0.0557287,0.068392,0.10444625,0.19
159,0.667809,0.812687,0.132079271,0.255
160,0.0162578,0.02719,0.128848187,0.277
161,0.947199,1.13061,0.143970752,0.272
162,0.0202454,0.031266,0.118460947,0.214
163,0.0147974,0.026192,0.129655079,0.27
164,0.0436003,0.056705,0.122956697,0.20700000000000002
165,0.056425,0.07644,0.138777886,0.23700000000000002
166,0.0601606,0.077337,0.131359027,0.274
167,0.0143506,0.024629,0.172639741,0.212
168,0.107619,0.13271,0.126638323,0.219
169,0.0136908,0.023327,0.101993462,0.217
170,0.0133855,0.022962,0.152753475,0.215
171,0.0207307,0.030088,0.14151974,0.23900000000000002
172,0.0133925,0.023781,0.119485918,0.242
173,0.0635452,0.083618,0.130308808,0.223
174,0.0519935,0.067129,0.125113463,0.219
175,0.0171693,0.029275,0.126332173,0.23900000000000002
176,0.26174,0.318248,0.144383897,0.256
177,0.0139321,0.024396,0.120008081,0.234
178,0.0177555,0.026325,0.13161646,0.265
179,0.0445709,0.059618,0.11136522,0.227
180,0.047071,0.063344,0.147405028,0.23600000000000002
181,0.0190082,0.02812,0.145394796,0.246
182,0.0520744,0.065065,0.120856022,0.221
183,0.020266,0.0302,0.12459821,0.257
184,0.039952,0.054508,0.121406346,0.219
185,0.0144075,0.026957,0.155030312,0.27
186,0.0681417,0.085029,0.125484569,0.232
187,0.0617166,0.078407,0.137047567,0.259
188,0.635583,0.777587,0.129121056,0.28600000000000003
189,0.0204474,0.030641,0.15235205,0.245
190,0.0180352,0.028851,0.126012381,0.215
191,0.0537226,0.070343,0.162690168,0.298
192,0.047532,0.061543,0.11215584,0.224
193,0.0166636,0.029858,0.135820222,0.256
194,0.0126702,0.022662,0.106424605,0.226
195,0.0748438,0.09172,0.119952191,0.231
196,0.0631062,0.079717,0.118492309,0.233
197,0.0463391,0.060384,0.122862566,0.265
198,0.0178534,0.02468,0.127659371,0.22
199,0.0180997,0.030995,0.143604563,0.28500000000000003
200,0.070055,0.086391,0.136702264,0.226
201,0.0570747,0.071692,0.13735118,0.248
202,0.0170178,0.026348,0.128830205,0.24
203,0.0136488,0.023022,0.132888673,0.404
204,0.153604,0.192916,0.131709267,0.273
205,0.0121784,0.021171,0.106273773,0.20500000000000002
206,0.417607,0.523341,0.104494853,0.197
207,0.941404,1.18014,0.128515313,0.245
208,0.069233,0.088059,0.143855465,0.268
209,0.0127564,0.020983,0.116600879,0.229
210,0.0487296,0.065405,0.121949418,0.227
