problem_number,FLINT,FORM,Mathematica,Singular
66,0.00379909,0.268,0.016098,0.07
67,0.00223819,0.234,0.014815,0.13
68,0.00202984,0.385,0.012849,0.05
69,0.00201046,0.56,0.017561,0.114
70,0.00245931,0.418,0.017724,0.121
71,0.0020484,0.616,0.013333,0.059000000000000004
72,0.00479909,0.493,0.01739,0.093
73,0.00276392,0.169,0.013867,0.062
74,0.00293564,0.659,0.019285,0.269
75,0.00328553,0.181,0.020761,0.1
76,0.00842617,0.289,0.024205,0.074
77,0.0013919,0.444,0.013437,0.076
78,0.00897955,0.401,0.019707,0.062
79,0.00351668,0.544,0.015433,0.06
80,0.00707544,0.678,0.018214,0.08
81,0.00600839,0.207,0.014637,0.037
82,0.00230393,0.411,0.013638,0.093
83,0.0077267,0.209,0.019725,0.063
84,0.00212577,0.204,0.016833,0.105
85,0.00849883,0.394,0.022158,0.056
86,0.00497562,0.589,0.022654,0.07100000000000001
87,0.00415635,0.239,0.019552,0.117
88,0.00355086,0.721,0.019635,0.109
89,0.00188991,0.68,0.015032,0.082
90,0.00358971,0.362,0.017422,0.068
91,0.00259475,0.691,0.016556,0.059000000000000004
92,0.00353335,0.189,0.015625,0.07
93,0.00317506,0.068,0.020842,0.075
94,0.0042875,0.155,0.01469,0.038
95,0.0036094,0.53,0.020236,0.085
96,0.00149081,0.195,0.011526,0.052000000000000005
97,0.00315345,0.299,0.016698,0.17300000000000001
98,0.00440873,0.358,0.015125,0.098
99,0.00352551,0.709,0.01454,0.055
100,0.00240214,0.157,0.018422,0.14300000000000002
101,0.00360196,0.425,0.020625,0.054
102,0.00352998,0.317,0.018867,0.07
103,0.00390808,0.725,0.015769,0.116
104,0.00275864,0.492,0.024203,0.048
105,0.00366429,0.229,0.014019,0.063
106,0.00353882,0.389,0.015334,0.095
107,0.00640444,0.298,0.016653,0.037
108,0.00351765,0.279,0.015527,0.055
109,0.00339873,0.857,0.017078,0.067
110,0.00507164,0.479,0.016471,0.07100000000000001
111,0.00395351,0.17,0.012222,0.049
112,0.00405594,0.171,0.010489,0.074
113,0.00307753,0.092,0.017917,0.07200000000000001
114,0.00192096,0.098,0.015438,0.059000000000000004
115,0.00320898,0.125,0.017429,0.06
116,0.00424402,0.229,0.018341,0.066
117,0.00248692,0.386,0.016241,0.076
118,0.00343581,0.611,0.016918,0.053
119,0.00356497,0.211,0.018045,0.093
120,0.00336483,0.089,0.014066,0.054
121,0.00436365,0.377,0.021491,0.08600000000000001
122,0.00291302,0.163,0.014324,0.06
123,0.00371372,0.819,0.016243,0.095
124,0.00350039,0.232,0.018287,0.08600000000000001
125,0.0031757,0.356,0.016038,0.046
126,0.00363572,0.957,0.01902,0.059000000000000004
127,0.00122893,0.15,0.015695,0.066
128,0.00374389,0.174,0.016416,0.097
129,0.00352689,0.254,0.016451,0.059000000000000004
130,0.00405151,0.664,0.016287,0.109
131,0.00610392,0.243,0.017175,0.052000000000000005
132,0.00356622,0.415,0.017848,0.065
133,0.00260175,2.074,0.019047,0.098
134,0.00238197,0.5,0.013985,0.052000000000000005
135,0.00374256,0.472,0.017375,0.07200000000000001
136,0.00392859,0.192,0.016315,0.079
137,0.00417405,0.328,0.018634,0.063
138,0.00365353,1.037,0.017612,0.056
139,0.00216396,0.498,0.014787,0.047
140,0.00382962,0.289,0.01922,0.059000000000000004
141,0.00225001,0.706,0.015727,0.07200000000000001
142,0.00166274,0.297,0.014361,0.033
143,0.00193469,0.763,0.01135,0.064
144,0.00234058,0.289,0.012905,0.042
145,0.00855545,0.165,0.022683,0.20600000000000002
146,0.00320571,0.092,0.019593,0.084
147,0.00824299,0.643,0.021373,0.058
148,0.00356105,0.358,0.015436,0.055
149,0.00234762,0.119,0.015514,0.08700000000000001
150,0.00239371,0.197,0.019896,0.058
151,0.00350943,0.606,0.019407,0.093
152,0.00276089,0.618,0.014546,0.061
153,0.00171075,0.197,0.014248,0.088
154,0.00393568,0.258,0.015431,0.052000000000000005
155,0.00383348,0.25,0.016749,0.081
156,0.0019077,0.309,0.016373,0.082
157,0.00327633,0.483,0.015956,0.05
158,0.00219464,0.538,0.015457,0.138
159,0.00384744,0.166,0.015539,0.075
160,0.00343881,0.498,0.016126,0.066
161,0.0039029,0.238,0.016718,0.053
162,0.00167868,0.498,0.011751,0.043000000000000003
163,0.00964234,0.142,0.024575,0.128
164,0.00880554,0.463,0.023423,0.057
165,0.00540335,0.592,0.019134,0.062
166,0.00289661,0.497,0.019913,0.09
167,0.00310849,0.418,0.0167,0.075
168,0.00606009,0.207,0.02139,0.128
169,0.00367149,0.087,0.015724,0.092
170,0.00317864,0.702,0.020012,0.10200000000000001
171,0.0162299,0.2,0.026102,0.085
172,0.00334033,0.201,0.020173,0.074
173,0.00236801,0.383,0.01474,0.116
174,0.0128856,0.393,0.028112,0.094
175,0.00151773,0.146,0.012629,0.08
176,0.00327702,0.45,0.01775,0.065
177,0.00425824,0.336,0.016846,0.08600000000000001
178,0.00109539,0.339,0.016315,0.053
179,0.00316122,0.195,0.016582,0.059000000000000004
180,0.00375025,0.993,0.015815,0.064
181,0.00138546,0.091,0.014493,0.048
182,0.00329658,0.397,0.01794,0.09
183,0.00357628,0.521,0.018139,0.084
184,0.00266419,0.149,0.013097,0.062
185,0.00077184,0.529,0.017394,0.074
186,0.00843934,0.301,0.01352,0.163
187,0.00429145,0.196,0.013643,0.05
188,0.00532277,0.486,0.019619,0.067
189,0.00198594,0.295,0.01493,0.062
190,0.00197418,0.168,0.014557,0.067
191,0.000621167,0.253,0.01025,0.038
192,0.00321414,0.623,0.019032,0.073
193,0.00214148,0.301,0.016195,0.054
194,0.0195064,0.214,0.03106,0.073
195,0.00557013,0.099,0.018031,0.114
196,0.00334977,0.221,0.017001,0.099
197,0.00451273,0.103,0.014894,0.058
198,0.00345424,0.285,0.017358,0.049
199,0.0045514,0.248,0.019381,0.059000000000000004
200,0.00427423,0.16,0.017274,0.065
201,0.000727193,0.406,0.015706,0.081
202,0.00350673,0.168,0.016948,0.062
203,0.00295797,0.387,0.016134,0.064
204,0.00220247,0.215,0.015743,0.114
205,0.00376099,0.113,0.015614,0.096
206,0.00346399,0.915,0.017568,0.057
207,0.00327933,0.311,0.015729,0.05
208,0.00389899,0.323,0.017504,0.047
209,0.00433238,0.279,0.01889,0.067
210,0.00213591,0.184,0.017153,0.076
