problem_number,FLINT,Mathematica,reFORM,Rings
52,0.00375914,0.02941,0.052715,0.058385586
53,0.00362872,0.033384,0.168421,0.075216229
54,0.00353939,0.030083,0.076106,0.068794099
55,0.00439926,0.035191,0.142691,0.078353007
56,0.00403895,0.031527,0.123508,0.075914785
57,0.00306634,0.028339,0.09831,0.090473102
58,0.00321709,0.029415,0.119329,0.068015424
59,0.00385388,0.033745,0.125628,0.072305501
60,0.00384682,0.03546,0.088438,0.079555631
61,0.00380536,0.033081,0.125996,0.07508693
62,0.00416792,0.036831,0.119816,0.080925306
63,0.0048982,0.04112,0.124066,0.090670874
64,0.00387052,0.034046,0.133494,0.075023181
65,0.00334194,0.028994,0.097294,0.063705856
66,0.00432161,0.039858,0.138963,0.111961355
67,0.00410269,0.030671,0.139015,0.065975643
68,0.00443305,0.038304,0.127393,0.095702027
69,0.00385373,0.029124,0.128102,0.057435915
70,0.00463002,0.036567,0.151531,0.079753367
71,0.003292,0.028104,0.093987,0.059378495
72,0.00307375,0.029368,0.115033,0.058498303
73,0.00400479,0.03423,0.152545,0.083470048
74,0.00458519,0.036499,0.137092,0.08748787
75,0.00438176,0.032077,0.059687,0.071678421
76,0.00432653,0.035499,0.133765,0.091157977
77,0.00455577,0.037396,0.14211,0.088791013
78,0.00319553,0.028947,0.121249,0.069015347
79,0.00390445,0.031441,0.121554,0.069674143
80,0.00376868,0.030984,0.120894,0.069436359
81,0.00405747,0.035403,0.128123,0.078081427
82,0.0036501,0.02932,0.05361,0.074519378
83,0.00452279,0.033853,0.118683,0.071857549
84,0.00418806,0.032866,0.099586,0.057886687
85,0.00405944,0.034715,0.121668,0.091419214
86,0.00392339,0.033188,0.143712,0.072136162
87,0.00446725,0.030855,0.095551,0.067415294
88,0.00452886,0.033259,0.112495,0.080403345
89,0.00464839,0.040229,0.183075,0.114540896
90,0.0041218,0.035902,0.130718,0.079459428
91,0.00392033,0.035014,0.161186,0.073316448
92,0.00406268,0.031752,0.110099,0.064711234
93,0.00363862,0.033589,0.10489,0.08235634
94,0.00409709,0.04003,0.124457,0.11256716
95,0.00362815,0.030725,0.089842,0.066734788
96,0.00437567,0.037675,0.155724,0.104414991
97,0.00413132,0.034714,0.151244,0.07262316
98,0.00377565,0.03621,0.144512,0.079362996
99,0.00484038,0.034541,0.143957,0.084749626
100,0.00333851,0.024941,0.085343,0.056487795
101,0.00413826,0.035565,0.151549,0.076152059
102,0.00297389,0.024612,0.103942,0.049633701
103,0.00330235,0.027054,0.086822,0.065522176
104,0.00439031,0.034254,0.109502,0.083438829
105,0.00320707,0.026989,0.100489,0.062813584
106,0.00407135,0.028673,0.142981,0.061712663
107,0.0042765,0.034941,0.10621,0.071988637
108,0.00362852,0.03406,0.123626,0.077298144
109,0.00411961,0.03229,0.138902,0.082295268
110,0.00437316,0.03494,0.11823,0.07667822
111,0.00332783,0.031508,0.131684,0.076509216
112,0.003592,0.030179,0.099253,0.069669978
113,0.00317328,0.027991,0.105106,0.055631184
114,0.00362161,0.03409,0.110594,0.076007159
115,0.00441937,0.034838,0.144509,0.090559032
116,0.0035464,0.030336,0.129445,0.064174735
117,0.00392466,0.037218,0.151948,0.086408873
118,0.00390342,0.031657,0.117369,0.067604616
119,0.00320439,0.029249,0.109336,0.059326803
120,0.0043169,0.035786,0.133834,0.072622139
121,0.0038092,0.029951,0.118474,0.065151676
122,0.00376922,0.032672,0.148026,0.066310883
123,0.00442045,0.037001,0.153238,0.087021035
124,0.00419472,0.031589,0.055565,0.069726936
125,0.00411842,0.036529,0.145298,0.083393777
126,0.0042599,0.035655,0.128832,0.097899582
127,0.00387225,0.033951,0.14217,0.082829154
128,0.00353236,0.034421,0.10336,0.075367043
129,0.00362246,0.031598,0.09674,0.069080628
130,0.0043785,0.032851,0.112702,0.080881478
131,0.00426601,0.03019,0.116098,0.059799024
132,0.00315822,0.030434,0.119166,0.062647568
133,0.00419852,0.035964,0.138583,0.086653292
134,0.00401126,0.034186,0.141449,0.080750514
135,0.00403141,0.030884,0.1285,0.082658222
136,0.00438541,0.039216,0.158796,0.09155097
137,0.00326014,0.027973,0.062524,0.057406587
138,0.00397269,0.030994,0.13071,0.076935366
139,0.00351817,0.030976,0.124899,0.061696214
140,0.003682,0.03187,0.11408,0.064471945
141,0.00339873,0.028494,0.10874,0.058563111
142,0.00386107,0.028937,0.123926,0.057861781
143,0.00326551,0.030297,0.112851,0.113962362
144,0.00470033,0.036734,0.094404,0.092176888
145,0.00341337,0.031053,0.118719,0.071057941
146,0.00372837,0.029905,0.126579,0.078384279
147,0.00403415,0.035312,0.116755,0.076502087
148,0.00441194,0.039471,0.170436,0.103317514
149,0.00409551,0.034601,0.11548,0.090208797
150,0.00384694,0.03406,0.137611,0.079695384
151,0.00352757,0.030159,0.1103,0.06851243
152,0.00357439,0.027475,0.117648,0.062690848
153,0.0044524,0.037521,0.146911,0.079710139
154,0.00383028,0.031166,0.131677,0.07364874
155,0.00372068,0.031501,0.074487,0.06146128
156,0.00358392,0.031119,0.108488,0.064832225
157,0.00374409,0.030711,0.118949,0.062633984
158,0.00417878,0.035055,0.142148,0.100563429
159,0.00367734,0.030421,0.109508,0.059691659
160,0.00358908,0.028047,0.072359,0.058395048
161,0.00405428,0.03145,0.12247,0.065111004
162,0.00504217,0.038269,0.156785,0.099897158
163,0.00337795,0.031039,0.110027,0.068529711
164,0.00404743,0.031908,0.150833,0.063070771
165,0.00463684,0.038516,0.153873,0.087065746
166,0.00382623,0.031085,0.114996,0.058748206
167,0.00336189,0.030778,0.120759,0.072088838
168,0.00374291,0.034645,0.151727,0.090222842
169,0.00352088,0.031433,0.13019,0.06050977
170,0.00405708,0.032524,0.122973,0.081072848
171,0.00371841,0.036187,0.123695,0.076975848
172,0.0045332,0.0322,0.1132,0.068581226
173,0.0035362,0.032273,0.126171,0.05954101
174,0.00377954,0.029549,0.101216,0.05089464
175,0.00396604,0.032042,0.122346,0.077073718
176,0.0042734,0.03845,0.159739,0.097205354
177,0.00393629,0.033384,0.12674,0.064579029
178,0.0052692,0.04075,0.092337,0.089707057
179,0.00418567,0.039527,0.097074,0.119277303
180,0.00420025,0.034591,0.127467,0.066766527
181,0.00361926,0.035092,0.1596,0.088617274
182,0.00483255,0.039234,0.151618,0.088805299
183,0.00367861,0.03018,0.10082,0.058690025
184,0.00324462,0.02581,0.090089,0.064313841
185,0.00424514,0.037346,0.135909,0.075669793
186,0.00354262,0.026766,0.12173,0.078249096
187,0.00435363,0.037341,0.097167,0.095395387
188,0.00315166,0.028173,0.11456,0.062962441
189,0.00393612,0.036627,0.155072,0.119663982
190,0.00306837,0.025318,0.090009,0.051052449
191,0.00438541,0.038435,0.165339,0.103394486
192,0.0036607,0.028792,0.102838,0.068661053
193,0.00414899,0.034255,0.110466,0.070748665
194,0.00431676,0.034921,0.147457,0.110793256
195,0.00415378,0.038291,0.160015,0.083433853
196,0.00372549,0.02998,0.123396,0.057627879
197,0.00323475,0.030957,0.1007,0.068251131
198,0.00459433,0.036876,0.117846,0.098968063
199,0.00360519,0.030582,0.152453,0.080516094
200,0.00387022,0.029461,0.105622,0.067004129
201,0.00334111,0.02839,0.056492,0.059887528
202,0.00333288,0.031512,0.121611,0.068210781
203,0.00304381,0.026885,0.114749,0.062966981
204,0.00313795,0.028843,0.114417,0.053025283
205,0.00379073,0.031328,0.144831,0.063415798
206,0.00525293,0.038675,0.122809,0.102583814
207,0.00348618,0.035375,0.120057,0.076798449
208,0.0039952,0.033027,0.123854,0.060530109
209,0.00350028,0.031153,0.098264,0.062742953
210,0.00329416,0.030045,0.122392,0.060954532
