problem_number,FLINT,FORM,Mathematica,Singular,Symbolica
93,0.0029887,0.004,0.020787,0.073,0.010042
94,0.00417422,0.006,0.015105,0.037,0.015604
95,0.00345309,0.004,0.02008,0.083,0.012886
96,0.00141092,0.002,0.011555,0.054,0.014531
97,0.00284019,0.005,0.016647,0.084,0.027585
98,0.00417531,0.004,0.015255,0.254,0.021109
99,0.00336918,0.004,0.01459,0.053,0.010843
100,0.00230686,0.003,0.01861,0.136,0.010335
101,0.00333281,0.005,0.020773,0.053,0.017115
102,0.00333199,0.004,0.01891,0.085,0.01557
103,0.00393934,0.005,0.015954,0.106,0.014122
104,0.00264255,0.003,0.024017,0.048,0.013687
105,0.00348042,0.005,0.014259,0.062,0.010465
106,0.00330355,0.005,0.015518,0.112,0.013651
107,0.00620485,0.007,0.016853,0.037,0.017784
108,0.00325375,0.005,0.015693,0.054,0.013866
109,0.00330664,0.004,0.017109,0.067,0.020558
110,0.00512054,0.006,0.016255,0.07200000000000001,0.015118
111,0.0040456,0.005,0.012525,0.045,0.019827
112,0.00399754,0.002,0.010655,0.07200000000000001,0.018155
113,0.00301554,0.005,0.018092,0.068,0.008733
114,0.00187522,0.003,0.015421,0.081,0.013472
115,0.00310899,0.003,0.017246,0.059000000000000004,0.015214
116,0.00405908,0.005,0.018345,0.064,0.009414
117,0.00238688,0.003,0.016109,0.076,0.014638
118,0.00324235,0.004,0.016899,0.052000000000000005,0.017897
119,0.00322919,0.005,0.018325,0.089,0.01706
120,0.00315571,0.003,0.013998,0.054,0.014881
121,0.00411374,0.006,0.021415,0.085,0.019154
122,0.00278258,0.004,0.014454,0.092,0.017255
123,0.00351728,0.004,0.016415,0.065,0.015757
124,0.00333644,0.005,0.018446,0.133,0.02394
125,0.00299058,0.005,0.015976,0.046,0.011778
126,0.00341066,0.004,0.019209,0.056,0.015523
127,0.00117415,0.002,0.015795,0.061,0.019813
128,0.00366694,0.004,0.016577,0.068,0.011555
129,0.0033113,0.002,0.016645,0.058,0.020439
130,0.0039437,0.005,0.01642,0.101,0.015058
131,0.00622154,0.008,0.017413,0.052000000000000005,0.017697
132,0.00337078,0.005,0.017822,0.074,0.007524
133,0.00238301,0.003,0.019152,0.098,0.019064
134,0.00228174,0.003,0.014203,0.06,0.016807
135,0.00350903,0.005,0.017502,0.069,0.012959
136,0.00366687,0.005,0.016299,0.081,0.02031
137,0.00380918,0.005,0.018614,0.061,0.02132
138,0.00356927,0.004,0.017911,0.055,0.018974
139,0.00204031,0.003,0.014957,0.058,0.018478
140,0.00353091,0.005,0.019326,0.058,0.025746
141,0.00212919,0.003,0.015661,0.07100000000000001,0.010908
142,0.00152257,0.004,0.014284,0.032,0.004413
143,0.0019339,0.003,0.011523,0.06,0.012192
144,0.00223124,0.003,0.012834,0.041,0.011674
145,0.00856888,0.01,0.022962,0.203,0.016987
146,0.00294872,0.005,0.019639,0.082,0.016785
147,0.00840495,0.009,0.02171,0.056,0.020171
148,0.00339907,0.004,0.015527,0.053,0.011774
149,0.0022086,0.003,0.015792,0.083,0.016767
150,0.00247313,0.004,0.020154,0.057,0.016623
151,0.00366421,0.004,0.019548,0.096,0.01366
152,0.00264114,0.003,0.014534,0.06,0.014217
153,0.00169158,0.002,0.014141,0.058,0.010809
154,0.00373217,0.004,0.015411,0.051000000000000004,0.013781
155,0.0036556,0.005,0.016916,0.065,0.018311
156,0.00180121,0.003,0.016619,0.082,0.015228
157,0.00325138,0.004,0.01608,0.048,0.010536
158,0.0020714,0.003,0.015552,0.131,0.01486
159,0.00354505,0.005,0.015648,0.069,0.01888
160,0.0032297,0.004,0.016429,0.066,0.019011
161,0.00379308,0.004,0.016994,0.052000000000000005,0.020574
162,0.00159329,0.003,0.011886,0.042,0.014338
163,0.00986725,0.011,0.024835,0.117,0.009889
164,0.00873561,0.01,0.023614,0.058,0.013775
165,0.00542426,0.007,0.018977,0.06,0.01935
166,0.00302034,0.005,0.019831,0.135,0.01252
167,0.00297891,0.005,0.016686,0.073,0.017468
168,0.00645425,0.007,0.021641,0.091,0.012063
169,0.00345385,0.005,0.015863,0.092,0.01579
170,0.00306762,0.004,0.020365,0.093,0.019989
171,0.0163128,0.017,0.026056,0.082,0.019563
172,0.00313981,0.004,0.020369,0.07200000000000001,0.014845
173,0.00225159,0.003,0.014601,0.12,0.01174
174,0.0131821,0.015,0.027884,0.09,0.010525
175,0.00148927,0.002,0.012689,0.06,0.019041
176,0.0030588,0.004,0.017682,0.063,0.015821
177,0.00393803,0.005,0.017194,0.099,0.018747
178,0.00104486,0.002,0.016244,0.053,0.009647
179,0.00296895,0.004,0.017103,0.058,0.019991
180,0.00356707,0.004,0.01596,0.064,0.018232
181,0.00131208,0.005,0.014763,0.047,0.008369
182,0.00320957,0.004,0.018278,0.097,0.011979
183,0.00339019,0.005,0.018178,0.084,0.014735
184,0.00258569,0.004,0.013114,0.063,0.008681
185,0.000722034,0.002,0.017314,0.069,0.012833
186,0.00820216,0.009,0.013692,0.166,0.013347
187,0.0040402,0.005,0.013597,0.069,0.016847
188,0.00552801,0.006,0.019857,0.061,0.01918
189,0.00187194,0.003,0.014882,0.067,0.012818
190,0.00186301,0.003,0.014486,0.064,0.010449
191,0.000569388,0.001,0.010382,0.036000000000000004,0.015092
192,0.00304531,0.004,0.019017,0.07100000000000001,0.014087
193,0.00200172,0.003,0.016349,0.053,0.018601
194,0.0198848,0.02,0.031291,0.073,0.013495
195,0.00532589,0.006,0.018079,0.11800000000000001,0.013584
196,0.00312134,0.004,0.016916,0.08700000000000001,0.018371
197,0.00423005,0.005,0.01474,0.135,0.014941
198,0.0032319,0.005,0.017766,0.047,0.019614
199,0.00448048,0.006,0.019849,0.059000000000000004,0.01726
200,0.00438372,0.006,0.017561,0.06,0.015647
201,0.000685574,0.002,0.015959,0.079,0.015486
202,0.00329024,0.004,0.017354,0.063,0.015091
203,0.00279106,0.003,0.016514,0.058,0.01503
204,0.00210664,0.003,0.015795,0.10300000000000001,0.014521
205,0.00361856,0.005,0.015528,0.096,0.012069
206,0.00324472,0.005,0.017819,0.056,0.019483
207,0.00308852,0.004,0.015652,0.054,0.015366
208,0.0035707,0.004,0.017552,0.047,0.018742
209,0.00441176,0.006,0.018918,0.066,0.019804
210,0.00200628,0.004,0.017158,0.075,0.011789
