problem_number,FLINT,FORM,Mathematica,Singular,Symbolica
74,0.00279902,0.005,0.019214,0.272,0.00922
75,0.00304301,0.004,0.020869,0.1,0.009254
76,0.00839819,0.009,0.024109,0.067,0.006852
77,0.00132072,0.002,0.013335,0.078,0.006734
78,0.00912761,0.009,0.019382,0.062,0.011618
79,0.00332128,0.004,0.015332,0.053,0.008287
80,0.00712015,0.007,0.018051,0.08700000000000001,0.008973
81,0.00607112,0.007,0.014466,0.036000000000000004,0.005429
82,0.00216299,0.003,0.01356,0.089,0.004736
83,0.00788601,0.008,0.019686,0.062,0.006373
84,0.00200478,0.004,0.016447,0.116,0.005527
85,0.00854986,0.01,0.022033,0.075,0.009724
86,0.00507667,0.005,0.022504,0.07200000000000001,0.008477
87,0.00391547,0.006,0.019438,0.139,0.006355
88,0.00331148,0.004,0.019469,0.111,0.009397
89,0.00178548,0.005,0.014877,0.081,0.008198
90,0.0034071,0.004,0.017275,0.07,0.008674
91,0.00249305,0.003,0.016228,0.059000000000000004,0.005213
92,0.00333526,0.004,0.01538,0.07,0.007104
93,0.00302474,0.004,0.020764,0.073,0.006126
94,0.00417564,0.006,0.014658,0.037,0.006737
95,0.00344689,0.004,0.019634,0.083,0.007585
96,0.00141497,0.002,0.01135,0.051000000000000004,0.006755
97,0.0028461,0.005,0.016583,0.091,0.014576
98,0.00412868,0.004,0.014932,0.242,0.009803
99,0.00337907,0.004,0.014358,0.055,0.007429
100,0.0022878,0.003,0.018441,0.13,0.006333
101,0.00335449,0.005,0.020549,0.052000000000000005,0.007347
102,0.00335382,0.004,0.018915,0.08600000000000001,0.006944
103,0.00398382,0.005,0.016009,0.111,0.004821
104,0.00263964,0.003,0.024208,0.044,0.005321
105,0.00348508,0.004,0.014106,0.064,0.005712
106,0.0032945,0.004,0.015191,0.108,0.007628
107,0.00620022,0.007,0.016679,0.037,0.007514
108,0.00326966,0.004,0.015652,0.054,0.007011
109,0.00330267,0.005,0.017101,0.082,0.008746
110,0.00506687,0.006,0.016327,0.068,0.007918
111,0.00403702,0.006,0.012382,0.048,0.006721
112,0.00400958,0.002,0.010514,0.075,0.007028
113,0.00303878,0.004,0.017848,0.07,0.005842
114,0.00186962,0.003,0.015396,0.081,0.008253
115,0.00313298,0.004,0.017324,0.059000000000000004,0.006317
116,0.00411842,0.005,0.01823,0.064,0.005367
117,0.00238209,0.003,0.016056,0.075,0.007094
118,0.00324225,0.004,0.016819,0.052000000000000005,0.008086
119,0.00325218,0.004,0.018176,0.08600000000000001,0.009123
120,0.0031291,0.004,0.013988,0.054,0.006896
121,0.00413768,0.006,0.021517,0.08600000000000001,0.012231
122,0.00278118,0.003,0.014481,0.063,0.006223
123,0.0035111,0.004,0.016176,0.068,0.005633
124,0.00334309,0.004,0.018209,0.14200000000000002,0.009389
125,0.00298721,0.004,0.015787,0.046,0.0065
126,0.00343829,0.004,0.019014,0.10400000000000001,0.007667
127,0.00117412,0.002,0.015986,0.061,0.007662
128,0.0037057,0.005,0.016461,0.10300000000000001,0.008392
129,0.00329694,0.002,0.016438,0.059000000000000004,0.00893
130,0.00395773,0.006,0.01612,0.098,0.006794
131,0.00627894,0.006,0.017244,0.053,0.005896
132,0.00339717,0.006,0.017829,0.074,0.004656
133,0.00241088,0.004,0.01877,0.094,0.009427
134,0.00230776,0.003,0.014068,0.055,0.011155
135,0.00351402,0.005,0.017256,0.07,0.006837
136,0.00370353,0.004,0.016102,0.08,0.008014
137,0.00383099,0.005,0.018452,0.061,0.00996
138,0.0035608,0.005,0.017832,0.053,0.011602
139,0.00202346,0.003,0.014912,0.058,0.009269
140,0.00352227,0.004,0.019281,0.06,0.012877
141,0.00209855,0.003,0.015832,0.07200000000000001,0.007461
142,0.00154117,0.004,0.014202,0.032,0.002721
143,0.00191465,0.002,0.011434,0.057,0.005128
144,0.00227568,0.003,0.012669,0.041,0.005415
145,0.00851905,0.01,0.022778,0.371,0.009108
146,0.00298028,0.004,0.019551,0.082,0.006581
147,0.00835056,0.009,0.021467,0.056,0.008493
148,0.00335975,0.004,0.015293,0.055,0.009371
149,0.00220829,0.004,0.015585,0.08,0.009867
150,0.00238428,0.004,0.019871,0.056,0.007948
151,0.00357645,0.004,0.019538,0.098,0.006671
152,0.00262678,0.004,0.014577,0.067,0.008877
153,0.0016888,0.002,0.014094,0.064,0.005759
154,0.00373975,0.004,0.015201,0.052000000000000005,0.006904
155,0.00366375,0.005,0.016764,0.069,0.008451
156,0.00179534,0.004,0.016425,0.082,0.009493
157,0.00321453,0.004,0.015866,0.049,0.004655
158,0.00207441,0.003,0.015264,0.13,0.008797
159,0.00357914,0.006,0.01562,0.065,0.007443
160,0.00322864,0.004,0.016247,0.065,0.008436
161,0.0038135,0.005,0.016914,0.044,0.007816
162,0.00159591,0.002,0.011815,0.042,0.005348
163,0.00979198,0.01,0.024563,0.135,0.005497
164,0.0088912,0.009,0.023397,0.057,0.006933
165,0.0053977,0.007,0.018707,0.061,0.008091
166,0.00290699,0.003,0.019975,0.088,0.006428
167,0.00288669,0.004,0.01669,0.084,0.008355
168,0.00625189,0.008,0.021407,0.116,0.0085
169,0.0034725,0.006,0.015943,0.11,0.006422
170,0.00307364,0.004,0.020291,0.059000000000000004,0.009139
171,0.0166095,0.018,0.02614,0.088,0.007734
172,0.00314533,0.004,0.02031,0.07200000000000001,0.007875
173,0.00226382,0.004,0.014634,0.097,0.005369
174,0.0130753,0.015,0.027887,0.159,0.006144
175,0.00151134,0.003,0.012646,0.069,0.008714
176,0.00309912,0.004,0.017601,0.063,0.007591
177,0.00394153,0.004,0.016892,0.084,0.009082
178,0.00104622,0.002,0.016163,0.052000000000000005,0.00465
179,0.00300503,0.004,0.01667,0.058,0.009465
180,0.00362546,0.005,0.01593,0.059000000000000004,0.007743
181,0.00132865,0.005,0.01445,0.047,0.004658
182,0.00321328,0.004,0.017997,0.097,0.005302
183,0.00337577,0.004,0.018106,0.081,0.007684
184,0.00258357,0.003,0.012887,0.065,0.004507
185,0.000714885,0.001,0.017139,0.073,0.006893
186,0.00850992,0.008,0.013575,0.157,0.007461
187,0.00406569,0.005,0.013584,0.051000000000000004,0.009119
188,0.0055343,0.007,0.019906,0.063,0.009891
189,0.00188751,0.002,0.014768,0.091,0.005669
190,0.00186352,0.003,0.014534,0.064,0.006345
191,0.000601525,0.001,0.010267,0.038,0.005951
192,0.00307369,0.004,0.018995,0.07100000000000001,0.007766
193,0.00203124,0.003,0.016214,0.054,0.008772
194,0.0200372,0.021,0.031182,0.077,0.007126
195,0.00550606,0.007,0.018057,0.097,0.005203
196,0.00315255,0.004,0.016925,0.14200000000000002,0.008888
197,0.00427079,0.005,0.014679,0.064,0.007242
198,0.00323644,0.004,0.017366,0.049,0.009074
199,0.00448582,0.006,0.019414,0.059000000000000004,0.009461
200,0.00441828,0.005,0.017383,0.06,0.007478
201,0.000697807,0.002,0.015775,0.074,0.006564
202,0.00331496,0.005,0.017085,0.062,0.006333
203,0.00279677,0.004,0.016305,0.058,0.007525
204,0.00207112,0.003,0.015801,0.121,0.009247
205,0.00358106,0.004,0.015605,0.094,0.008166
206,0.00324817,0.004,0.017741,0.057,0.008722
207,0.00308184,0.004,0.015781,0.056,0.005669
208,0.00358321,0.004,0.017749,0.047,0.007456
209,0.00441533,0.005,0.018919,0.065,0.008372
210,0.00199165,0.004,0.017304,0.074,0.007307
