problem_number,FLINT,FORM,Mathematica,Singular,Symbolica
53,0.00410349,0.005,0.016925,0.039,0.007268
54,0.00284029,0.004,0.016052,0.067,0.008696
55,0.00206181,0.003,0.01635,0.07200000000000001,0.005973
56,0.00100004,0.002,0.013419,0.054,0.005249
57,0.00439522,0.005,0.015301,0.126,0.007275
58,0.00310907,0.005,0.020114,0.10200000000000001,0.010359
59,0.00309202,0.004,0.018754,0.065,0.007035
60,0.00413936,0.005,0.0185,0.076,0.008684
61,0.00321178,0.004,0.015921,0.044,0.006162
62,0.00353974,0.004,0.017371,0.056,0.007113
63,0.00317009,0.004,0.018663,0.06,0.00673
64,0.00430887,0.005,0.018633,0.055,0.006848
65,0.00601852,0.008,0.019457,0.052000000000000005,0.008244
66,0.00381235,0.005,0.016029,0.085,0.008663
67,0.00222834,0.004,0.014854,0.159,0.009198
68,0.00202832,0.003,0.012995,0.047,0.008476
69,0.00201994,0.003,0.017517,0.08700000000000001,0.006067
70,0.00244313,0.004,0.017768,0.13,0.007442
71,0.00201644,0.003,0.013245,0.058,0.005584
72,0.00475047,0.005,0.017329,0.093,0.004477
73,0.00276958,0.004,0.014021,0.062,0.007646
74,0.00294434,0.004,0.019569,0.279,0.00954
75,0.00324002,0.004,0.02146,0.096,0.010111
76,0.00828288,0.01,0.024499,0.07200000000000001,0.007092
77,0.00140894,0.002,0.013489,0.074,0.007008
78,0.00899833,0.01,0.019912,0.06,0.010827
79,0.00351168,0.004,0.015584,0.059000000000000004,0.008562
80,0.00703449,0.008,0.018429,0.079,0.008034
81,0.00598437,0.007,0.014536,0.036000000000000004,0.005942
82,0.00228933,0.003,0.013596,0.097,0.004651
83,0.00769862,0.009,0.019784,0.062,0.006687
84,0.0021211,0.003,0.01661,0.094,0.006957
85,0.00839438,0.01,0.022366,0.075,0.010144
86,0.0049488,0.006,0.02263,0.06,0.007969
87,0.00412319,0.005,0.019533,0.135,0.006461
88,0.00351854,0.005,0.019515,0.063,0.007982
89,0.00186594,0.005,0.015127,0.081,0.008425
90,0.00357661,0.004,0.017128,0.067,0.008404
91,0.00258107,0.004,0.016638,0.061,0.004769
92,0.00345934,0.004,0.015597,0.07,0.007381
93,0.00316084,0.004,0.02097,0.073,0.006439
94,0.00424795,0.006,0.014938,0.038,0.007294
95,0.00359262,0.005,0.019919,0.078,0.005641
96,0.00148189,0.002,0.01156,0.051000000000000004,0.007474
97,0.00309146,0.004,0.016869,0.08700000000000001,0.013321
98,0.00432766,0.003,0.015296,0.094,0.009629
99,0.00351035,0.003,0.014485,0.054,0.007249
100,0.00239409,0.003,0.0185,0.138,0.00578
101,0.00358354,0.005,0.020888,0.053,0.007748
102,0.00350779,0.004,0.019065,0.07100000000000001,0.006212
103,0.00386192,0.005,0.015904,0.116,0.006675
104,0.00275398,0.003,0.024467,0.047,0.004537
105,0.00364774,0.005,0.014319,0.07200000000000001,0.005287
106,0.00350426,0.004,0.015545,0.11800000000000001,0.00747
107,0.00630109,0.006,0.016996,0.036000000000000004,0.007634
108,0.00343689,0.004,0.015935,0.055,0.007123
109,0.00337053,0.005,0.017308,0.065,0.009043
110,0.00502459,0.006,0.016486,0.069,0.006974
111,0.00395642,0.004,0.012425,0.045,0.007703
112,0.00404276,0.002,0.010745,0.073,0.006701
113,0.00306556,0.004,0.01816,0.068,0.004961
114,0.00190924,0.003,0.015615,0.054,0.006521
115,0.00316646,0.004,0.017421,0.058,0.00599
116,0.00419316,0.005,0.018323,0.064,0.004857
117,0.00247454,0.003,0.016114,0.075,0.00766
118,0.00341338,0.004,0.017234,0.052000000000000005,0.006383
119,0.00347734,0.004,0.018404,0.092,0.009991
120,0.00330614,0.004,0.014243,0.057,0.007199
121,0.00430682,0.006,0.021428,0.08600000000000001,0.010588
122,0.00289396,0.004,0.014539,0.081,0.005257
123,0.00365196,0.004,0.016234,0.07,0.005496
124,0.00346872,0.004,0.018532,0.085,0.009563
125,0.00315075,0.004,0.015971,0.046,0.005081
126,0.00360339,0.004,0.019142,0.096,0.007472
127,0.00122731,0.002,0.015789,0.065,0.009971
128,0.00368811,0.005,0.016678,0.092,0.005206
129,0.00352063,0.002,0.016694,0.057,0.008528
130,0.00398589,0.005,0.016255,0.094,0.006126
131,0.0060905,0.007,0.017262,0.051000000000000004,0.006421
132,0.00352921,0.004,0.017917,0.075,0.004812
133,0.00259123,0.005,0.019361,0.096,0.008393
134,0.00234924,0.004,0.014246,0.048,0.010302
135,0.00371879,0.005,0.017597,0.07,0.00673
136,0.00390674,0.005,0.016394,0.08,0.007154
137,0.00410935,0.005,0.018659,0.062,0.009245
138,0.00360038,0.004,0.017914,0.055,0.011766
139,0.00216892,0.003,0.014956,0.057,0.008235
140,0.00377282,0.005,0.019609,0.058,0.012548
141,0.00222188,0.003,0.015757,0.07200000000000001,0.006936
142,0.00164259,0.004,0.014348,0.032,0.002722
143,0.00194912,0.003,0.011656,0.049,0.006377
144,0.00230616,0.003,0.013016,0.042,0.005278
145,0.00844498,0.01,0.023888,0.202,0.009431
146,0.00315087,0.005,0.01977,0.082,0.006083
147,0.00820527,0.009,0.021529,0.056,0.007344
148,0.0035065,0.004,0.01545,0.054,0.007833
149,0.00236285,0.003,0.015908,0.082,0.008033
150,0.00238139,0.004,0.020179,0.056,0.006542
151,0.00349531,0.005,0.019692,0.114,0.006579
152,0.00273077,0.004,0.014531,0.062,0.008419
153,0.00170448,0.002,0.014294,0.074,0.005035
154,0.00390061,0.004,0.015451,0.051000000000000004,0.00719
155,0.00378493,0.004,0.017045,0.077,0.008258
156,0.00189275,0.003,0.016402,0.085,0.008312
157,0.00326317,0.004,0.016303,0.049,0.005081
158,0.00219282,0.003,0.015525,0.13,0.008339
159,0.00380252,0.004,0.015514,0.066,0.007098
160,0.00341718,0.004,0.016409,0.064,0.007446
161,0.00386511,0.004,0.017126,0.052000000000000005,0.007728
162,0.00166638,0.003,0.011959,0.043000000000000003,0.005902
163,0.00956274,0.011,0.024655,0.125,0.00467
164,0.00877474,0.01,0.02355,0.056,0.006062
165,0.00535749,0.006,0.019196,0.062,0.008726
166,0.00289774,0.005,0.02005,0.088,0.006859
167,0.00307925,0.004,0.016785,0.061,0.009278
168,0.00606134,0.008,0.021375,0.083,0.007094
169,0.00364119,0.006,0.016168,0.09,0.008381
170,0.00314529,0.005,0.02044,0.059000000000000004,0.007672
171,0.0162624,0.017,0.0263,0.084,0.006844
172,0.00332427,0.005,0.020466,0.07,0.007981
173,0.00235335,0.004,0.014818,0.101,0.00526
174,0.0127314,0.015,0.028035,0.09,0.006505
175,0.00150975,0.003,0.012697,0.075,0.008977
176,0.00321363,0.004,0.017874,0.063,0.00753
177,0.0041636,0.004,0.017188,0.068,0.00781
178,0.00107641,0.002,0.016333,0.052000000000000005,0.005057
179,0.0031278,0.004,0.016944,0.056,0.009363
180,0.00375793,0.005,0.01595,0.062,0.007663
181,0.00137892,0.005,0.014686,0.048,0.004122
182,0.003257,0.005,0.018137,0.093,0.005908
183,0.00350763,0.005,0.018161,0.085,0.007441
184,0.00263907,0.003,0.012948,0.048,0.005436
185,0.000761118,0.001,0.017157,0.074,0.006185
186,0.00829459,0.009,0.013837,0.151,0.007913
187,0.00422844,0.005,0.013549,0.069,0.008647
188,0.00534545,0.007,0.019946,0.069,0.009686
189,0.00197083,0.003,0.014912,0.059000000000000004,0.005053
190,0.00196748,0.003,0.014522,0.063,0.005588
191,0.000612352,0.001,0.010373,0.037,0.006842
192,0.00317318,0.004,0.019146,0.07100000000000001,0.00695
193,0.00212249,0.003,0.016528,0.058,0.01069
194,0.019411,0.021,0.031119,0.075,0.005719
195,0.00554825,0.007,0.018541,0.10300000000000001,0.004378
196,0.00330809,0.004,0.017327,0.106,0.00857
197,0.00446285,0.005,0.015083,0.066,0.00655
198,0.00341142,0.005,0.017542,0.048,0.008003
199,0.00451796,0.006,0.020153,0.059000000000000004,0.008969
200,0.00427639,0.006,0.017732,0.064,0.007849
201,0.000714785,0.002,0.016053,0.08700000000000001,0.007235
202,0.00348269,0.004,0.017727,0.061,0.006911
203,0.0029242,0.004,0.016701,0.063,0.008175
204,0.00222686,0.003,0.015913,0.095,0.009087
205,0.00374072,0.004,0.01553,0.091,0.008045
206,0.00341534,0.004,0.017725,0.055,0.008237
207,0.00322955,0.005,0.01592,0.049,0.005486
208,0.0038336,0.005,0.018045,0.047,0.00736
209,0.00430069,0.006,0.019128,0.068,0.007381
210,0.00212676,0.003,0.017356,0.074,0.006802
