problem_number,FLINT,Mathematica,Rings,Singular,Symbolica
90,0.227089,0.278105,0.127558257,0.23700000000000002,0.298064
91,0.0191474,0.031578,0.169010989,0.281,0.450499
92,0.0465799,0.061206,0.10773531,0.20500000000000002,0.28391
93,0.894397,1.08109,0.124480348,0.241,0.291729
94,0.0173738,0.03124,0.189451188,0.275,0.554807
95,0.142321,0.177895,0.148000357,0.281,0.326472
96,0.0513678,0.067159,0.23837884,0.216,1.418809
97,0.0145664,0.025464,0.133330128,0.233,0.540177
98,0.0467245,0.061154,0.111942415,0.193,0.105602
99,0.533402,0.648759,0.173082289,0.292,0.538807
100,0.0356903,0.047068,0.294170922,0.201,0.180886
101,0.0575732,0.072364,0.138559546,0.254,0.256491
102,0.0167382,0.030219,0.147866336,0.254,0.516683
103,0.013932,0.024357,0.134190466,0.226,0.229434
104,0.0139971,0.023076,0.128272879,0.226,0.998627
105,0.0208243,0.031895,0.155145978,0.264,0.718199
106,0.0744343,0.089943,0.125533129,0.217,0.323916
107,0.0175273,0.029271,0.149289807,0.27,0.282063
108,0.0135927,0.022358,0.108583894,0.178,0.081632
109,0.0156261,0.025358,0.149558469,0.209,0.275168
110,0.018883,0.029718,0.209896827,0.28600000000000003,0.223429
111,0.0169287,0.028219,0.112220655,0.213,0.404205
112,0.113353,0.141227,0.216061336,0.273,1.491254
113,0.0179761,0.027179,0.129680889,0.221,0.136653
114,0.968909,1.16192,0.15295617,0.255,0.442262
115,0.0447252,0.058514,0.122800868,0.256,0.413927
116,0.0623247,0.081965,0.145238484,0.294,1.041349
117,0.013011,0.022931,0.111646913,0.209,1.143843
118,0.0181866,0.027798,0.137883291,0.21,1.108664
119,0.0131684,0.022912,0.124805605,0.195,0.12485
120,0.0152349,0.024964,0.14271694,0.23500000000000001,0.529961
121,0.0597884,0.076142,0.11654667,0.221,0.247863
122,0.0759567,0.095489,0.133107873,0.242,0.170653
123,0.0187974,0.029142,0.137494577,0.232,0.515211
124,0.0170291,0.026587,0.128721181,0.241,0.423202
125,0.0189007,0.030625,0.127525855,0.243,0.103047
126,0.115754,0.14309,0.143840787,0.23600000000000002,0.203528
127,0.01474,0.024123,0.113610545,0.248,0.920052
128,0.0157739,0.030978,0.21248329,0.281,0.177329
129,0.0874013,0.108432,0.120809932,0.226,0.649377
130,0.0135298,0.02157,0.098579765,0.194,0.441429
131,0.047349,0.061139,0.107471517,0.22,0.43638
132,0.0161191,0.026626,0.139855419,0.244,0.66029
133,0.0155107,0.028203,0.176906591,0.27,0.18235
134,0.0202658,0.033295,0.168161045,0.28700000000000003,0.215964
135,0.0473198,0.064864,0.139915047,0.23,0.304812
136,0.0518569,0.070605,0.140947011,0.23900000000000002,1.395098
137,0.0524279,0.067914,0.12277346,0.22,0.246474
138,0.0516737,0.067624,0.119463819,0.225,0.197885
139,0.0229199,0.034957,0.152539848,0.276,0.219066
140,0.0508222,0.067845,0.115090812,0.221,0.428339
141,0.0899918,0.11591,0.150853072,0.28500000000000003,0.357484
142,0.0567908,0.072259,0.154667237,0.228,0.113863
143,0.0756198,0.09619,0.133485654,0.253,0.098131
144,0.699483,0.851664,0.159802911,0.245,0.544595
145,0.0688941,0.085297,0.144226021,0.245,0.31567
146,0.0780648,0.101282,0.143076468,0.247,0.326645
147,0.0160005,0.029175,0.147283207,0.253,0.060047
148,0.0168195,0.026698,0.118203328,0.234,0.337903
149,0.0129174,0.022866,0.102834884,0.191,0.675137
150,0.0146514,0.023528,0.110548162,0.186,0.18178
151,0.0373222,0.051355,0.108586594,0.214,2.667848
152,0.845694,1.05134,0.123930661,0.226,0.167717
153,0.0121723,0.019836,0.112560547,0.2,0.20898
154,0.537842,0.651005,0.149078576,0.23700000000000002,0.128799
155,0.0165426,0.02569,0.122446633,0.212,0.139789
156,0.0421579,0.056578,0.12118578,0.232,0.173116
157,0.0139784,0.024868,0.127859078,0.226,0.337788
158,0.0554336,0.068779,0.104974672,0.184,0.109578
159,0.667739,0.80363,0.132565116,0.269,0.208421
160,0.0162814,0.027283,0.131435953,0.232,0.553306
161,0.946519,1.12795,0.14462433,0.265,0.392463
162,0.0201544,0.031502,0.120596051,0.20700000000000002,0.190252
163,0.0147966,0.026557,0.131716346,0.265,0.182507
164,0.0434539,0.056762,0.124726404,0.20800000000000002,0.188658
165,0.0563184,0.076824,0.13990226,0.231,0.25425
166,0.060177,0.078003,0.133255842,0.28300000000000003,0.10026
167,0.0143574,0.024983,0.173228781,0.222,0.110545
168,0.10641,0.131679,0.128876933,0.20800000000000002,0.176615
169,0.0133411,0.023649,0.102486811,0.298,0.286838
170,0.0133021,0.023117,0.152726553,0.20800000000000002,0.181137
171,0.020724,0.030426,0.143551295,0.23500000000000001,0.170774
172,0.0133662,0.024121,0.12001494,0.234,0.088554
173,0.0635031,0.08349,0.131407927,0.215,0.347921
174,0.0520238,0.06761,0.126063282,0.211,0.1519
175,0.017161,0.029535,0.128526088,0.23900000000000002,0.106393
176,0.262561,0.316437,0.145016745,0.257,0.157495
177,0.0139472,0.024791,0.120889168,0.229,0.294085
178,0.0177664,0.02652,0.132799754,0.252,1.151646
179,0.044558,0.059994,0.112217767,0.227,0.345624
180,0.047064,0.063463,0.147906565,0.216,0.149317
181,0.018984,0.028371,0.146351789,0.23700000000000002,0.640866
182,0.0519795,0.065384,0.123919432,0.219,0.225524
183,0.0202199,0.030436,0.124621916,0.246,1.268854
184,0.0399815,0.054873,0.123250571,0.222,0.218188
185,0.0143708,0.027331,0.155506422,0.263,0.532679
186,0.0681688,0.085402,0.127794132,0.227,0.131342
187,0.0617545,0.079175,0.137910974,0.247,0.399971
188,0.638837,0.773056,0.130219112,0.276,1.384823
189,0.0204485,0.031053,0.153420812,0.234,0.501916
190,0.0180617,0.029191,0.127554956,0.216,0.214503
191,0.0537195,0.070382,0.161681633,0.278,0.415857
192,0.0475042,0.061754,0.113236693,0.219,0.295041
193,0.0166926,0.029932,0.136468348,0.25,0.469129
194,0.0126605,0.022894,0.107369249,0.219,0.18481
195,0.0747937,0.091944,0.12105969,0.224,0.40855
196,0.063084,0.080226,0.118580367,0.228,0.455905
197,0.0463104,0.060796,0.124546239,0.25,0.535209
198,0.0168444,0.024874,0.128399844,0.215,0.392326
199,0.0173498,0.031501,0.143950519,0.289,0.37263
200,0.0697399,0.086487,0.137318984,0.215,0.551554
201,0.0571639,0.07214,0.13912826,0.241,0.193728
202,0.0169924,0.026654,0.129316817,0.254,0.372835
203,0.0135873,0.023233,0.133271982,0.406,8.768234
204,0.153507,0.194012,0.132298912,0.263,0.595154
205,0.0121421,0.021244,0.107009348,0.198,0.284632
206,0.418399,0.511365,0.104409056,0.197,0.377626
207,0.945571,1.17658,0.129294101,0.242,0.111004
208,0.069091,0.088325,0.144431553,0.267,0.264802
209,0.0127382,0.021169,0.114640065,0.229,1.574967
210,0.0487122,0.065976,0.12326168,0.227,0.13048
