problem_number,FLINT,FORM,Mathematica,Singular,Symbolica
156,0.00189241,0.308,0.016411,0.08600000000000001,0.009833
157,0.00323719,0.483,0.015835,0.061,0.005881
158,0.00219054,0.539,0.015413,0.125,0.009299
159,0.00375483,0.166,0.015332,0.077,0.007651
160,0.00338993,0.497,0.016128,0.06,0.009254
161,0.00380086,0.238,0.016837,0.053,0.008121
162,0.00164294,0.498,0.011846,0.044,0.007653
163,0.00952748,0.14,0.024291,0.10400000000000001,0.005988
164,0.00874521,0.462,0.023415,0.054,0.008685
165,0.00535422,0.59,0.018932,0.062,0.009807
166,0.00289674,0.494,0.019757,0.088,0.008983
167,0.00303946,0.417,0.016647,0.083,0.009073
168,0.00605013,0.206,0.02116,0.093,0.008708
169,0.0036222,0.087,0.015812,0.094,0.007601
170,0.0031097,0.7,0.019968,0.091,0.009596
171,0.016208,0.198,0.025901,0.089,0.008178
172,0.00329318,0.2,0.020203,0.07100000000000001,0.010066
173,0.00234733,0.381,0.014598,0.097,0.005952
174,0.0127638,0.392,0.02778,0.09,0.009598
175,0.00151111,0.146,0.012516,0.075,0.009583
176,0.00318916,0.449,0.017511,0.063,0.008533
177,0.00417338,0.333,0.016841,0.081,0.009212
178,0.00107931,0.339,0.016042,0.053,0.006514
179,0.00311683,0.195,0.016714,0.056,0.010232
180,0.00371006,0.991,0.015663,0.061,0.008839
181,0.00136529,0.091,0.01436,0.047,0.004799
182,0.00323876,0.395,0.017885,0.114,0.005591
183,0.00351249,0.52,0.017916,0.084,0.008436
184,0.00264391,0.148,0.012873,0.062,0.005699
185,0.000775798,0.528,0.016995,0.073,0.008705
186,0.0083165,0.3,0.013448,0.145,0.008263
187,0.00420311,0.195,0.013419,0.069,0.010746
188,0.00527625,0.485,0.019593,0.065,0.011103
189,0.00195814,0.294,0.014566,0.101,0.007104
190,0.00195497,0.168,0.014444,0.063,0.005948
191,0.000597714,0.253,0.010165,0.037,0.007164
192,0.00315515,0.622,0.018892,0.07100000000000001,0.008439
193,0.00211866,0.301,0.015813,0.053,0.008902
194,0.0194888,0.215,0.031033,0.076,0.007524
195,0.00550615,0.099,0.01793,0.1,0.00676
196,0.00328913,0.221,0.017045,0.094,0.008541
197,0.00443411,0.102,0.014855,0.151,0.008941
198,0.00339164,0.285,0.017288,0.048,0.008952
199,0.00445746,0.248,0.019272,0.053,0.011102
200,0.00428136,0.16,0.01729,0.064,0.007784
201,0.000708204,0.405,0.015659,0.079,0.007126
202,0.00349433,0.168,0.016985,0.061,0.007925
203,0.00290791,0.387,0.016047,0.058,0.006868
204,0.00218948,0.215,0.015524,0.109,0.012117
205,0.00371392,0.112,0.015425,0.095,0.009723
206,0.00340504,0.915,0.017465,0.059000000000000004,0.009583
207,0.00320804,0.311,0.015525,0.05,0.007625
208,0.00378799,0.323,0.01732,0.048,0.008688
209,0.00433712,0.279,0.018754,0.066,0.009891
210,0.00212822,0.184,0.016922,0.075,0.007807
