problem_number,FLINT,Mathematica,reFORM,Rings,Symbolica
98,0.00376895,0.035479,0.143038,0.079694814,0.036544
99,0.00482921,0.034156,0.142476,0.084400877,0.030633
100,0.00332765,0.024765,0.086117,0.056258365,0.029484
101,0.00414536,0.034935,0.149885,0.076488336,0.038848
102,0.00296136,0.02403,0.102786,0.051957153,0.029297
103,0.00333401,0.026497,0.085993,0.066106553,0.023255
104,0.00433424,0.033739,0.107584,0.082870525,0.039914
105,0.00321651,0.026561,0.099246,0.063052295,0.026496
106,0.00406919,0.028392,0.14097,0.062337586,0.027807
107,0.00427533,0.034726,0.105579,0.072554736,0.034265
108,0.00362326,0.033411,0.122084,0.07752601,0.047345
109,0.00413388,0.031752,0.13716,0.082117895,0.037484
110,0.00434948,0.034298,0.116596,0.076280505,0.031754
111,0.00333089,0.031003,0.129386,0.076872513,0.03314
112,0.00359642,0.029644,0.097857,0.069568988,0.026471
113,0.00317304,0.0275,0.10392,0.05638303,0.026176
114,0.00363639,0.033196,0.109008,0.074382594,0.03401
115,0.00441665,0.034228,0.142727,0.090389672,0.03315
116,0.00353725,0.029994,0.128258,0.064436347,0.032486
117,0.00390797,0.036411,0.149661,0.087038014,0.037396
118,0.00390922,0.03084,0.116403,0.068396991,0.028897
119,0.00323009,0.028972,0.108271,0.060105612,0.031105
120,0.00430025,0.035433,0.132517,0.072839639,0.038851
121,0.00380526,0.029565,0.11704,0.065137425,0.035544
122,0.00376637,0.031842,0.146668,0.06697444,0.027712
123,0.00443426,0.036304,0.151814,0.086706092,0.033055
124,0.00419741,0.030991,0.055172,0.069052896,0.038767
125,0.00411379,0.036058,0.144675,0.084006981,0.033496
126,0.00425597,0.035097,0.127083,0.099204671,0.033554
127,0.00385572,0.03325,0.14087,0.08054194,0.036409
128,0.00353903,0.03422,0.102824,0.075958984,0.034281
129,0.00360955,0.031062,0.09528,0.070328522,0.023951
130,0.0043858,0.032334,0.111552,0.081653628,0.033628
131,0.00426876,0.029657,0.115114,0.059790873,0.027056
132,0.00315192,0.029984,0.118302,0.064331483,0.026845
133,0.00419857,0.035375,0.136946,0.086257741,0.035612
134,0.00399319,0.033712,0.1398,0.080675533,0.033775
135,0.00404211,0.03064,0.127152,0.083386523,0.035689
136,0.00440147,0.038402,0.156927,0.092038363,0.03249
137,0.00325638,0.027531,0.061688,0.058073167,0.022477
138,0.00396534,0.030611,0.128941,0.076936737,0.03092
139,0.00351382,0.030646,0.123839,0.062351179,0.03515
140,0.00368793,0.031427,0.113075,0.067583606,0.037106
141,0.00340358,0.028033,0.107454,0.05931898,0.034371
142,0.00385448,0.028602,0.122415,0.058579369,0.032053
143,0.00325365,0.029724,0.111209,0.1138039,0.031762
144,0.00467887,0.036149,0.093404,0.093438523,0.042492
145,0.00342477,0.030535,0.117484,0.071541329,0.032912
146,0.00372822,0.029601,0.125129,0.078460213,0.032405
147,0.00403892,0.034354,0.115448,0.076873798,0.028754
148,0.00441671,0.03952,0.168579,0.102398347,0.037456
149,0.00411166,0.034036,0.113866,0.090687466,0.039055
150,0.00385792,0.033875,0.135854,0.078808194,0.036712
151,0.00351791,0.030006,0.109151,0.069164297,0.029758
152,0.00357586,0.027305,0.116586,0.062955741,0.034845
153,0.0044596,0.036929,0.143172,0.081132686,0.036614
154,0.00382219,0.030727,0.141488,0.073704145,0.027527
155,0.00374824,0.030793,0.073999,0.062213835,0.031175
156,0.00358363,0.030879,0.106983,0.065374737,0.021138
157,0.003735,0.03068,0.118699,0.062414686,0.025994
158,0.00417895,0.034541,0.146228,0.102515847,0.038736
159,0.00367177,0.030067,0.108252,0.061126168,0.033414
160,0.00358703,0.027934,0.071621,0.059145818,0.031235
161,0.00404128,0.031169,0.121329,0.065865665,0.040902
162,0.0050404,0.038046,0.154313,0.099709262,0.033409
163,0.00335162,0.030521,0.108388,0.069426055,0.035987
164,0.00404916,0.031423,0.15116,0.06348835,0.029334
165,0.00463547,0.037935,0.151675,0.087197397,0.031778
166,0.0038053,0.030467,0.114229,0.059839649,0.034564
167,0.00333966,0.030266,0.119329,0.072884479,0.030794
168,0.00375996,0.033868,0.149717,0.090445902,0.034744
169,0.00353052,0.031129,0.12794,0.063208802,0.028496
170,0.00405647,0.032231,0.121102,0.083120769,0.02963
171,0.0037082,0.035577,0.122496,0.077426184,0.040529
172,0.00452992,0.031758,0.111484,0.06737398,0.031206
173,0.00353512,0.032734,0.124425,0.059028603,0.041379
174,0.00377903,0.029503,0.100173,0.051781249,0.02734
175,0.00397209,0.031574,0.121049,0.077135421,0.027236
176,0.00426484,0.03785,0.15795,0.098441161,0.036562
177,0.00391498,0.033119,0.125109,0.064892851,0.034384
178,0.00526647,0.041073,0.091331,0.091560157,0.043226
179,0.0041701,0.03887,0.095448,0.11981232,0.035938
180,0.00420921,0.033886,0.125792,0.066740169,0.030368
181,0.0036517,0.034628,0.157725,0.08782091,0.036513
182,0.00482315,0.038518,0.147543,0.088538866,0.039846
183,0.00369328,0.029835,0.099521,0.057512032,0.025901
184,0.00322274,0.025561,0.089015,0.064627498,0.033716
185,0.00425696,0.036976,0.134355,0.07685293,0.034078
186,0.00354431,0.026801,0.120381,0.077607116,0.035706
187,0.00435112,0.037061,0.095873,0.09814141,0.039602
188,0.00315039,0.027933,0.112732,0.064012323,0.026072
189,0.00391589,0.036132,0.153307,0.12306567,0.040694
190,0.00307957,0.02519,0.088282,0.050160988,0.026068
191,0.00441087,0.038046,0.164161,0.100062079,0.044689
192,0.00367123,0.028776,0.101145,0.069149664,0.030429
193,0.00413859,0.033619,0.109329,0.071104796,0.036859
194,0.00430776,0.034761,0.145737,0.112563171,0.05725
195,0.00413302,0.03756,0.157662,0.082722652,0.036241
196,0.0037726,0.029695,0.121979,0.058765675,0.031473
197,0.00323938,0.030811,0.099448,0.068366573,0.032898
198,0.00458424,0.036324,0.116424,0.098263434,0.036157
199,0.00361014,0.030366,0.150381,0.081153078,0.02563
200,0.00387943,0.029051,0.104,0.0677557,0.027037
201,0.00331216,0.027946,0.055645,0.060232381,0.032529
202,0.00331717,0.031197,0.120304,0.067660302,0.032598
203,0.00305612,0.026383,0.113231,0.063540222,0.035748
204,0.00313937,0.028396,0.11323,0.052782675,0.027453
205,0.00377625,0.030846,0.142951,0.064058727,0.02835
206,0.00526214,0.038012,0.121311,0.1026024,0.042473
207,0.00349755,0.034647,0.118703,0.078951263,0.036224
208,0.00398616,0.032712,0.12286,0.061227518,0.034989
209,0.0035004,0.030896,0.097365,0.062699436,0.03039
210,0.00329858,0.029117,0.121126,0.060958262,0.026236
